,Titles,Publisher,Political Compass
0,Michelle Yeoh wins Best Actress Oscar. Here s her mother s reaction   Oscars 2023,The Daily Mail,Right-Wing
1,Lizzo stops Glasgow gig to help a couple get engaged,The Daily Mail,Right-Wing
2,Could The Last of Us zombie fungus nightmare become a reality?,The Daily Mail,Right-Wing
3,Andy Cohen spills ALL the tea on Vanderpump Rules love triangle,The Daily Mail,Right-Wing
4,Did Justin Bieber throw SHADE at Selena Gomez?,The Daily Mail,Right-Wing
5,First and Last: BBC Radio DJ Jo Whiley sits down with YOU Magazine,The Daily Mail,Right-Wing
6,Prince Harry and Meghan Markle enjoy a VERY lavish date night,The Daily Mail,Right-Wing
7,Idris Elba hopes Luther can become a film franchise after new Netflix film,The Daily Mail,Right-Wing
8,Michael B. Jordan receives a star on the Hollywood Walk of Fame,The Daily Mail,Right-Wing
9,Ed Sheeran s wife was diagnosed with a tumor while pregnant,The Daily Mail,Right-Wing
10,Meghan Markle seen for the first time since Prince Harry s book Spare,The Daily Mail,Right-Wing
11,Courtney Cox confirms Prince Harry partied at her house ,The Daily Mail,Right-Wing
12,What caused Aubrey Plaza s furious outburst at the SAG Awards?,The Daily Mail,Right-Wing
13,Christina Applegate brings  FU MS  cane to SAG Awards,The Daily Mail,Right-Wing
14,Why are Y2K outfits popular with Gen Z on TikTok?,The Daily Mail,Right-Wing
15,"Selena Gomez, Hailey Bieber and Kylie Jenner drama EXPLAINED",The Daily Mail,Right-Wing
16,SAG Awards: From Betty White to Stranger Things   Most iconic SAG Moments,The Daily Mail,Right-Wing
17,Emma Thompson s real-life heartbreak inspired THAT Love Actually scene,The Daily Mail,Right-Wing
18,Priscilla Presley in bitter feud with granddaughter Riley Keough,The Daily Mail,Right-Wing
19,Hayden Panettiere s brother Jansen dies at 28,The Daily Mail,Right-Wing
20,"Best (and worst) BAFTA awards moments: Leonardo DiCaprio kiss cam, cheeky Prince William and more!",The Daily Mail,Right-Wing
21,Ryan Seacrest steps down from Live with Kelly Ripa after six years,The Daily Mail,Right-Wing
22,What Meghan Markle wrote about  Princess Kate  before she met Harry,The Daily Mail,Right-Wing
23,Buccal fat removal: Lea Michele and Hollywood s brand new trend,The Daily Mail,Right-Wing
24,1970s  bombshell  Raquel Welch dead at 82,The Daily Mail,Right-Wing
25,Jennifer Lopez and Ben Affleck get matching tattoos,The Daily Mail,Right-Wing
26,Behind the  Glee Curse : A look at the hit show s off-screen controversies,The Daily Mail,Right-Wing
27,Megan Fox and MGK spotted leaving couples counseling,The Daily Mail,Right-Wing
28,Incredible timelapse shows the prep for Rihannas Super Bowl performance,The Daily Mail,Right-Wing
29,"The BRIT Awards  most shocking moments: Madonna s fall, Adele s career-defining performance and more",The Daily Mail,Right-Wing
30,Megan Fox hints she s SPLIT from Machine Gun Kelly,The Daily Mail,Right-Wing
31,Stephen  tWitch  Boss  widow files for half of his estate,The Daily Mail,Right-Wing
32,Britney Spears  family stage  failed intervention ,The Daily Mail,Right-Wing
33,Madonna slams plastic surgery rumors over Grammy appearance,The Daily Mail,Right-Wing
34,Meghan Markle lookalike says she gets trolled online,The Daily Mail,Right-Wing
35,Did Adele walk out of the Grammys over Harry Styles win?,The Daily Mail,Right-Wing
36,Madonna s daughter Lourdes DENIED entry from fashion show,The Daily Mail,Right-Wing
37,Leonardo DiCaprio slammed over  romance  with 19 year old,The Daily Mail,Right-Wing
38,From Zara to Haris: Most shocking Love Island exits ever   Love Island 2023,The Daily Mail,Right-Wing
39,Taylor Lautner reveals biggest regret with ex Taylor Swift,The Daily Mail,Right-Wing
40,Nicola Peltz and Brooklyn Beckham s secret wedding drama revealed,The Daily Mail,Right-Wing
41,Lisa Marie Presley was taking opioids weeks before her death,The Daily Mail,Right-Wing
42,Red-faced Harry Styles rips his pants during LA concert,The Daily Mail,Right-Wing
43,Nepo baby alert! Kim Kardashian and Kanye West s kids land first movie roles,The Daily Mail,Right-Wing
44,Britney Spears fans call police for welfare check on the singer,The Daily Mail,Right-Wing
45,Paris Hilton secretly welcomes her first child,The Daily Mail,Right-Wing
46,Kendall Jenner slammed for complaining about  horrible  Dubai trip,The Daily Mail,Right-Wing
47,LIVE: Oscars 2023 nominations announced - Avatar 2 to dominate?   Academy Awards 2023,The Daily Mail,Right-Wing
48,Kylie Jenner mocked over meaning of son s very unusual name,The Daily Mail,Right-Wing
49,Amy Winehouse biopic is slammed by critics,The Daily Mail,Right-Wing
50,Queen Camilla wishes ballet dancer good luck ahead of Disney doc,The Daily Express,Right-Wing
51,Prince Edward confirmed as new Duke of Edinburgh,The Daily Express,Right-Wing
52,Harry and Meghan christen Princess Lilibet Diana   Royal Round Up,The Daily Express,Right-Wing
53,Matt Hancock s 41-hour battle to save career,The Daily Express,Right-Wing
54,Kate Middleton takes part in snowy battlefield drill,The Daily Express,Right-Wing
55,LIVE: Rishi Sunak faces off with Keir Starmer in PMQs,The Daily Express,Right-Wing
56,Princess Lilibet Diana christened by Archbishop of Los Angeles,The Daily Express,Right-Wing
57,Princess Eugenie to receive Frogmore Cottage from Harry and Meghan,The Daily Express,Right-Wing
